X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
152,Harrow - Queensbury,Queensbury,11984,68.8,77.7,85.2,21.19492657,11.6,75,57.5,26.2,Queensbury
153,Islington - Junction,Junction,12025,40,77,83.3,15.39293139,10.7,30.6,34.7,11.5,Junction
154,Westminster - Harrow Road,Harrow Road,12034,77.5,77.1,92.1,18.89646003,8.5,49,48.2,17.9,Harrow Road
155,Camden - Kilburn,Kilburn,12038,59.4,72,78.9,17.31184582,11.2,40.1,47.9,18.7,Kilburn
156,Redbridge - Roding,Roding,12044,68,80.3,83.8,22.74991697,10.3,37.2,28.2,8.7,Roding
157,Hillingdon - Uxbridge North,Uxbridge North,12048,63.1,77.2,83,17.88678619,15.9,30.2,23.4,5.9,Uxbridge North
158,Bexley - Erith,Erith,12053,106.7,78.3,82.8,23.63726873,11.7,31.4,23.1,5.6,Erith
159,Camden - West Hampstead,West Hampstead,12060,55.6,77.9,83,12.54560531,8.4,30.5,43.3,13.9,West Hampstead
160,Westminster - Regent's Park,Regent's Park,12067,54.1,80.9,83.5,15.29791995,16.3,43.7,59.9,23.7,Regent's Park
161,Islington - Canonbury,Canonbury,12072,50,74.7,84.1,17.33764082,9.7,28.2,29.7,9.1,Canonbury
162,Bexley - Thamesmead East,Thamesmead East,12094,117,77.9,83.8,27.1622292,6.8,52.7,38.1,7.6,Thamesmead East
163,Brent - Kenton,Kenton,12133,57.9,83.7,86.2,16.7229869,17.2,70,53.9,19.6,Kenton
164,Hounslow - Hanworth,Hanworth,12155,85,77.5,87.1,24.20403126,11,32.4,28.9,11.3,Hanworth
165,Hillingdon - Heathrow Villages,Heathrow Villages,12199,86.9,75.8,82.8,20.8213788,9.4,50,43.2,17.1,Heathrow Villages
166,Islington - Barnsbury,Barnsbury,12201,45.1,75,79.5,14.8840259,9.4,28.9,35.5,10.9,Barnsbury
167,Hackney - Clissold,Clissold,12212,60.9,77.1,83.5,18.71110383,6.6,34.7,32,10.6,Clissold
168,Croydon - Coulsdon East,Coulsdon East,12244,65.1,81.8,85.7,19.18490689,19.6,15.4,11.8,1.5,Coulsdon East
169,Bromley - Crystal Palace,Crystal Palace,12255,70.6,75.5,82,19.21664627,7.8,38.1,30.3,8.3,Crystal Palace
